name,telescope,exptime,jd,date,chip,band,readout,filename,note,field
F5614-20-R-a-7,MOA-II,20,2459193.153094,2020-12-09,7,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2020/F5614-20-R-a-7.fit.gz,lower,flat
F6086-121-I-a-3,MOA-II,121,2459902.045325,2022-11-18,3,I,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6086-121-I-a-3.fit.gz,over,flat_round
F6059-121-V-a-3,MOA-II,121,2459900.020405,2022-11-16,3,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6059-121-V-a-3.fit.gz,lower,flat_round
F6174-121-R-c-10,MOA-II,121,2460049.220544,2023-04-14,10,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6174-121-R-c-10.fit.gz,lower,flat_round
F5932-6-R-a-9,MOA-II,6,2459555.874182,2021-12-07,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5932-6-R-a-9.fit.gz,lower,flat
F5718-10-R-a-3,MOA-II,10,2459261.852031,2021-02-16,3,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5718-10-R-a-3.fit.gz,good,flat
F5837-121-R-a-99,MOA-II,121,2459344.209081,2021-05-09,99,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5837-121-R-a-99.fit.gz,good,flat_round
F6037-121-I-b-2,MOA-II,121,2459832.067832,2022-09-09,2,I,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6037-121-I-b-2.fit.gz,good,flat_round
F6200-121-R-c-6,MOA-II,121,2460193.977405,2023-09-06,6,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6200-121-R-c-6.fit.gz,good,flat_round
F5672-5-R-a-8,MOA-II,5,2459258.224444,2021-02-12,8,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5672-5-R-a-8.fit.gz,over,flat
F6172-121-R-b-9,MOA-II,121,2460049.188458,2023-04-14,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6172-121-R-b-9.fit.gz,good,flat_round
F5869-30-R-a-4,MOA-II,30,2459541.848223,2021-11-23,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5869-30-R-a-4.fit.gz,over,flat
F6053-121-R-a-99,MOA-II,121,2459899.029258,2022-11-15,99,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6053-121-R-a-99.fit.gz,over,flat_round
F5837-121-R-b-1,MOA-II,121,2459344.210955,2021-05-09,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5837-121-R-b-1.fit.gz,good,flat_round
F5975-121-V-b-9,MOA-II,121,2459620.953267,2022-02-10,9,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5975-121-V-b-9.fit.gz,good,flat_round
