name,telescope,exptime,jd,date,filename,note
dark-0066,B&C,0.0,2459687.286774074,2022-04-17T18:52:57.28,/home/phys/astro8/MJArchive/octans/20220417/dark-0066.fit,
dark-0089,B&C,1.5,2459687.288304051,2022-04-17T18:55:09.47,/home/phys/astro8/MJArchive/octans/20220417/dark-0089.fit,
dark-0082,B&C,1.5,2459687.2878724537,2022-04-17T18:54:32.18,/home/phys/astro8/MJArchive/octans/20220417/dark-0082.fit,
dark-0008,B&C,60.0,2459604.753493981,2022-01-25T06:05:01.88,/home/phys/astro8/MJArchive/octans/20220125/dark-0008.fit,
dark-0001_120,B&C,120.0,2459606.6945121526,2022-01-27T04:40:05.85,/home/phys/astro8/MJArchive/octans/20220127/dark-0001_120.fit,
Dark-00315,B&C,5.0,2459684.010233796,2022-04-14T12:14:44.20,/home/phys/astro8/MJArchive/octans/20220414/Dark-00315.fit,
Dark-0007,B&C,2.0,2459686.941513426,2022-04-17T10:35:46.76,/home/phys/astro8/MJArchive/octans/20220417/Dark-0007.fit,
dark-0004300,B&C,300.0,2459609.837045949,2022-01-30T08:05:20.77,/home/phys/astro8/MJArchive/octans/20220130/dark-0004300.fit,
Dark-0035300,B&C,300.0,2459684.043587963,2022-04-14T13:02:46.00,/home/phys/astro8/MJArchive/octans/20220414/Dark-0035300.fit,
dark-0073,B&C,0.0,2459687.287082986,2022-04-17T18:53:23.97,/home/phys/astro8/MJArchive/octans/20220417/dark-0073.fit,
dark-0019_10,B&C,10.0,2459825.9366730326,2022-09-03T10:28:48.55,/home/phys/astro8/MJArchive/octans/20220903/dark-0019_10.fit,
dark-0015_10,B&C,10.0,2459825.9225041666,2022-09-03T10:08:24.36,/home/phys/astro8/MJArchive/octans/20220903/dark-0015_10.fit,
Dark-0016,B&C,10.0,2459687.892950463,2022-04-18T09:25:50.92,/home/phys/astro8/MJArchive/octans/20220418/Dark-0016.fit,
dark-0005,B&C,120.0,2459605.738932639,2022-01-26T05:44:03.78,/home/phys/astro8/MJArchive/octans/20220126/dark-0005.fit,
dark-0002_60,B&C,60.0,2459617.8713359954,2022-02-07T08:54:43.43,/home/phys/astro8/MJArchive/octans/20220207/dark-0002_60.fit,
Darks_20220829-0005d2,B&C,2.0,2459821.310089236,2022-08-29T19:26:31.71,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0005d2.fit,
dark-0003,B&C,2.0,2459686.2681969907,2022-04-16T18:26:12.22,/home/phys/astro8/MJArchive/octans/20220416/dark-0003.fit,
dark-0031,B&C,0.0,2459605.775383796,2022-01-26T06:36:33.16,/home/phys/astro8/MJArchive/octans/20220126/dark-0031.fit,
dark-0002_5,B&C,5.0,2459825.876222569,2022-09-03T09:01:45.63,/home/phys/astro8/MJArchive/octans/20220903/dark-0002_5.fit,
dark_20220909-0007_15,B&C,15.0,2459831.8776494213,2022-09-09T09:03:48.91,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0007_15.fit,
dark-0004_120,B&C,120.0,2459617.8812836804,2022-02-07T09:09:02.91,/home/phys/astro8/MJArchive/octans/20220207/dark-0004_120.fit,
dark-0005_300,B&C,300.0,2459608.7964,2022-01-29T07:06:48.96,/home/phys/astro8/MJArchive/octans/20220129/dark-0005_300.fit,
dark-0019,B&C,0.0,2459605.774852778,2022-01-26T06:35:47.28,/home/phys/astro8/MJArchive/octans/20220126/dark-0019.fit,
dark_20220909-0009_15,B&C,15.0,2459831.878084954,2022-09-09T09:04:26.54,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0009_15.fit,
Dark-0010300,B&C,300.0,2459683.809513426,2022-04-14T07:25:41.96,/home/phys/astro8/MJArchive/octans/20220414/Dark-0010300.fit,
dark-0004_120,B&C,120.0,2459825.880514352,2022-09-03T09:07:56.44,/home/phys/astro8/MJArchive/octans/20220903/dark-0004_120.fit,
Dark-00325,B&C,5.0,2459684.013923727,2022-04-14T12:20:03.01,/home/phys/astro8/MJArchive/octans/20220414/Dark-00325.fit,
dark-0001,B&C,120.0,2459605.733199884,2022-01-26T05:35:48.47,/home/phys/astro8/MJArchive/octans/20220126/dark-0001.fit,
dark_20220830-000830,B&C,30.0,2459821.816624421,2022-08-30T07:35:56.35,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-000830.fit,
dark-0084,B&C,1.5,2459687.287996644,2022-04-17T18:54:42.91,/home/phys/astro8/MJArchive/octans/20220417/dark-0084.fit,
Darks_20220829-0004d5,B&C,5.0,2459821.304546875,2022-08-29T19:18:32.85,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0004d5.fit,
Dark-0003,B&C,10.0,2459687.8908513887,2022-04-18T09:22:49.56,/home/phys/astro8/MJArchive/octans/20220418/Dark-0003.fit,
Darks_20220829-0007d5,B&C,5.0,2459821.320389352,2022-08-29T19:41:21.64,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0007d5.fit,
Dark-00145,B&C,5.0,2459683.827568056,2022-04-14T07:51:41.88,/home/phys/astro8/MJArchive/octans/20220414/Dark-00145.fit,
dark-0001_300,B&C,300.0,2459606.69807338,2022-01-27T04:45:13.54,/home/phys/astro8/MJArchive/octans/20220127/dark-0001_300.fit,
dark_20220830-0015300,B&C,300.0,2459822.252399074,2022-08-30T18:03:27.28,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0015300.fit,
dark_20220830-000430,B&C,30.0,2459821.8150582174,2022-08-30T07:33:41.03,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-000430.fit,
dark-0039,B&C,15.0,2459687.2832216434,2022-04-17T18:47:50.35,/home/phys/astro8/MJArchive/octans/20220417/dark-0039.fit,
dark_20220830-0005300,B&C,300.0,2459821.7921743058,2022-08-30T07:00:43.86,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0005300.fit,
dark_20220909-0016_15,B&C,15.0,2459831.880737037,2022-09-09T09:08:15.68,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0016_15.fit,
Dark-001160,B&C,60.0,2459684.2509506945,2022-04-14T18:01:22.14,/home/phys/astro8/MJArchive/octans/20220414/Dark-001160.fit,
dark-0016,B&C,0.0,2459605.7747204863,2022-01-26T06:35:35.85,/home/phys/astro8/MJArchive/octans/20220126/dark-0016.fit,
dark-0003_300,B&C,300.0,2459616.878472222,2022-02-06T09:05:00.00,/home/phys/astro8/MJArchive/octans/20220206/dark-0003_300.fit,
Dark-0002,B&C,10.0,2459687.890690625,2022-04-18T09:22:35.67,/home/phys/astro8/MJArchive/octans/20220418/Dark-0002.fit,
dark-0002_120,B&C,120.0,2459616.8713440974,2022-02-06T08:54:44.13,/home/phys/astro8/MJArchive/octans/20220206/dark-0002_120.fit,
dark_20220909-0006_15,B&C,15.0,2459831.877431713,2022-09-09T09:03:30.10,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0006_15.fit,
dark-0001_300,B&C,300.0,2459616.867087037,2022-02-06T08:48:36.32,/home/phys/astro8/MJArchive/octans/20220206/dark-0001_300.fit,
dark_20220909-0018_15,B&C,15.0,2459831.881172338,2022-09-09T09:08:53.29,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0018_15.fit,
dark-0078,B&C,1.5,2459687.2876255787,2022-04-17T18:54:10.85,/home/phys/astro8/MJArchive/octans/20220417/dark-0078.fit,
Dark-0005,B&C,2.0,2459686.941378241,2022-04-17T10:35:35.08,/home/phys/astro8/MJArchive/octans/20220417/Dark-0005.fit,
dark-0044,B&C,15.0,2459687.284310301,2022-04-17T18:49:24.41,/home/phys/astro8/MJArchive/octans/20220417/dark-0044.fit,
dark-0010_2,B&C,2.0,2459825.8941319445,2022-09-03T09:27:33.00,/home/phys/astro8/MJArchive/octans/20220903/dark-0010_2.fit,
Dark-000560,B&C,60.0,2459684.2465149304,2022-04-14T17:54:58.89,/home/phys/astro8/MJArchive/octans/20220414/Dark-000560.fit,
Dark-0019300,B&C,300.0,2459683.8421491897,2022-04-14T08:12:41.69,/home/phys/astro8/MJArchive/octans/20220414/Dark-0019300.fit,
dark-0029,B&C,0.0,2459605.775295486,2022-01-26T06:36:25.53,/home/phys/astro8/MJArchive/octans/20220126/dark-0029.fit,
Darks_20220829-0005d300,B&C,300.0,2459821.311589584,2022-08-29T19:28:41.34,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0005d300.fit,
dark-0001300,B&C,300.0,2459609.819974074,2022-01-30T07:40:45.76,/home/phys/astro8/MJArchive/octans/20220130/dark-0001300.fit,
dark-0020_120,B&C,120.0,2459825.939004398,2022-09-03T10:32:09.98,/home/phys/astro8/MJArchive/octans/20220903/dark-0020_120.fit,
Dark-000210,B&C,10.0,2459683.254867361,2022-04-13T18:07:00.54,/home/phys/astro8/MJArchive/octans/20220413/Dark-000210.fit,
dark-0087,B&C,1.5,2459687.288181134,2022-04-17T18:54:58.85,/home/phys/astro8/MJArchive/octans/20220417/dark-0087.fit,
Dark-001010,B&C,10.0,2459683.2561462964,2022-04-13T18:08:51.04,/home/phys/astro8/MJArchive/octans/20220413/Dark-001010.fit,
dark-0015,B&C,180.0,2459604.7644148148,2022-01-25T06:20:45.44,/home/phys/astro8/MJArchive/octans/20220125/dark-0015.fit,
Dark-00255,B&C,5.0,2459683.9881064817,2022-04-14T11:42:52.40,/home/phys/astro8/MJArchive/octans/20220414/Dark-00255.fit,
dark-0003_180,B&C,180.0,2459606.7115818285,2022-01-27T05:04:40.67,/home/phys/astro8/MJArchive/octans/20220127/dark-0003_180.fit,
dark-0001,B&C,120.0,2459604.74467963,2022-01-25T05:52:20.32,/home/phys/astro8/MJArchive/octans/20220125/dark-0001.fit,
dark-0014,B&C,180.0,2459604.7622873844,2022-01-25T06:17:41.63,/home/phys/astro8/MJArchive/octans/20220125/dark-0014.fit,
dark_20220909-0015_15,B&C,15.0,2459831.880519097,2022-09-09T09:07:56.85,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0015_15.fit,
Dark-0030300,B&C,300.0,2459684.0030277777,2022-04-14T12:04:21.60,/home/phys/astro8/MJArchive/octans/20220414/Dark-0030300.fit,
dark_20220830-0006150,B&C,150.0,2459822.229249537,2022-08-30T17:30:07.16,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0006150.fit,
Dark-0026,B&C,2.0,2459686.2833342594,2022-04-16T18:48:00.08,/home/phys/astro8/MJArchive/octans/20220416/Dark-0026.fit,
dark-0001_10,B&C,10.0,2459825.8742383104,2022-09-03T08:58:54.19,/home/phys/astro8/MJArchive/octans/20220903/dark-0001_10.fit,
dark_20220830-0013300,B&C,300.0,2459822.245362732,2022-08-30T17:53:19.34,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0013300.fit,
dark-0009,B&C,180.0,2459605.7499078703,2022-01-26T05:59:52.04,/home/phys/astro8/MJArchive/octans/20220126/dark-0009.fit,
dark-0006,B&C,180.0,2459605.74352176,2022-01-26T05:50:40.28,/home/phys/astro8/MJArchive/octans/20220126/dark-0006.fit,
dark-0008_300,B&C,300.0,2459608.813734375,2022-01-29T07:31:46.65,/home/phys/astro8/MJArchive/octans/20220129/dark-0008_300.fit,
Dark-00025,B&C,5.0,2459683.784070949,2022-04-14T06:49:03.73,/home/phys/astro8/MJArchive/octans/20220414/Dark-00025.fit,
Darks_20220829-0003d120,B&C,120.0,2459821.2995953704,2022-08-29T19:11:25.04,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0003d120.fit,
dark-0003_60,B&C,60.0,2459608.7897947915,2022-01-29T06:57:18.27,/home/phys/astro8/MJArchive/octans/20220129/dark-0003_60.fit,
dark-0088,B&C,1.5,2459687.2882425925,2022-04-17T18:55:04.16,/home/phys/astro8/MJArchive/octans/20220417/dark-0088.fit,
Darks_20220829-0008d10,B&C,10.0,2459821.325772685,2022-08-29T19:49:06.76,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0008d10.fit,
Dark-00302,B&C,2.0,2459684.006647338,2022-04-14T12:09:34.33,/home/phys/astro8/MJArchive/octans/20220414/Dark-00302.fit,
Dark-00332,B&C,2.0,2459684.017716782,2022-04-14T12:25:30.73,/home/phys/astro8/MJArchive/octans/20220414/Dark-00332.fit,
Darks_20220829-0009d5,B&C,5.0,2459821.3309505787,2022-08-29T19:56:34.13,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0009d5.fit,
dark-0013_150,B&C,150.0,2459825.912680787,2022-09-03T09:54:15.62,/home/phys/astro8/MJArchive/octans/20220903/dark-0013_150.fit,
dark-0071,B&C,0.0,2459687.286994792,2022-04-17T18:53:16.35,/home/phys/astro8/MJArchive/octans/20220417/dark-0071.fit,
dark-0047,B&C,4.0,2459687.2851204863,2022-04-17T18:50:34.41,/home/phys/astro8/MJArchive/octans/20220417/dark-0047.fit,
dark-0005,B&C,120.0,2459604.750412384,2022-01-25T06:00:35.63,/home/phys/astro8/MJArchive/octans/20220125/dark-0005.fit,
dark-0001120,B&C,120.0,2459609.823491204,2022-01-30T07:45:49.64,/home/phys/astro8/MJArchive/octans/20220130/dark-0001120.fit,
dark-0009,B&C,60.0,2459604.754232523,2022-01-25T06:06:05.69,/home/phys/astro8/MJArchive/octans/20220125/dark-0009.fit,
dark-0018,B&C,60.0,2459604.18009294,2022-01-24T16:19:20.03,/home/phys/astro8/MJArchive/octans/20220124/dark-0018.fit,
dark-0007,B&C,180.0,2459605.7456506942,2022-01-26T05:53:44.22,/home/phys/astro8/MJArchive/octans/20220126/dark-0007.fit,
dark-0038,B&C,15.0,2459687.283003935,2022-04-17T18:47:31.54,/home/phys/astro8/MJArchive/octans/20220417/dark-0038.fit,
dark-0001,B&C,2.0,2459686.2680581016,2022-04-16T18:26:00.22,/home/phys/astro8/MJArchive/octans/20220416/dark-0001.fit,
Darks_20220829-0008d5,B&C,5.0,2459821.3256699075,2022-08-29T19:48:57.88,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0008d5.fit,
dark-0051,B&C,4.0,2459687.2854828704,2022-04-17T18:51:05.72,/home/phys/astro8/MJArchive/octans/20220417/dark-0051.fit,
dark-0057,B&C,4.0,2459687.286025347,2022-04-17T18:51:52.59,/home/phys/astro8/MJArchive/octans/20220417/dark-0057.fit,
dark-0015_30,B&C,30.0,2459825.920161458,2022-09-03T10:05:01.95,/home/phys/astro8/MJArchive/octans/20220903/dark-0015_30.fit,
Dark-00095,B&C,5.0,2459683.8094108794,2022-04-14T07:25:33.10,/home/phys/astro8/MJArchive/octans/20220414/Dark-00095.fit,
dark-0067,B&C,0.0,2459687.286818287,2022-04-17T18:53:01.10,/home/phys/astro8/MJArchive/octans/20220417/dark-0067.fit,
Dark-0012,B&C,2.0,2459686.941849884,2022-04-17T10:36:15.83,/home/phys/astro8/MJArchive/octans/20220417/Dark-0012.fit,
dark-0009_60,B&C,60.0,2459608.824465625,2022-01-29T07:47:13.83,/home/phys/astro8/MJArchive/octans/20220129/dark-0009_60.fit,
dark-0009_2,B&C,2.0,2459825.892369792,2022-09-03T09:25:00.75,/home/phys/astro8/MJArchive/octans/20220903/dark-0009_2.fit,
dark-0003_10,B&C,10.0,2459825.878339236,2022-09-03T09:04:48.51,/home/phys/astro8/MJArchive/octans/20220903/dark-0003_10.fit,
dark-0010,B&C,120.0,2459604.171242477,2022-01-24T16:06:35.35,/home/phys/astro8/MJArchive/octans/20220124/dark-0010.fit,
dark-0016,B&C,60.0,2459604.1786147,2022-01-24T16:17:12.31,/home/phys/astro8/MJArchive/octans/20220124/dark-0016.fit,
Dark-00115,B&C,5.0,2459683.8166502314,2022-04-14T07:35:58.58,/home/phys/astro8/MJArchive/octans/20220414/Dark-00115.fit,
Dark-0013,B&C,4.0,2459686.281922222,2022-04-16T18:45:58.08,/home/phys/astro8/MJArchive/octans/20220416/Dark-0013.fit,
dark_20220909-0020_15,B&C,15.0,2459831.881608449,2022-09-09T09:09:30.97,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0020_15.fit,
dark-0006_120,B&C,120.0,2459825.884505208,2022-09-03T09:13:41.25,/home/phys/astro8/MJArchive/octans/20220903/dark-0006_120.fit,
dark-0017_120,B&C,120.0,2459825.927530208,2022-09-03T10:15:38.61,/home/phys/astro8/MJArchive/octans/20220903/dark-0017_120.fit,
dark-0011,B&C,300.0,2459605.757005556,2022-01-26T06:10:05.28,/home/phys/astro8/MJArchive/octans/20220126/dark-0011.fit,
dark_20220830-001030,B&C,30.0,2459821.8174070604,2022-08-30T07:37:03.97,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-001030.fit,
