name,chip,exptime,jd,date,filename,note
D22400-1-m-2,2,1,2459542.835907,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-2.fits,
D22400-1-m-3,3,1,2459542.8359069997,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-3.fits,
D22400-1-m-4,4,1,2459542.8359069997,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-4.fits,
D22400-1-m-5,5,1,2459542.835907,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-5.fits,
D22400-1-m-6,6,1,2459542.8359069997,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-6.fits,
D22400-1-m-7,7,1,2459542.8359069997,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-7.fits,
D22400-1-m-8,8,1,2459542.8359069997,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-8.fits,
D22400-1-m-9,9,1,2459542.835907,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-9.fits,
D22400-1-m-10,10,1,2459542.835907,        2021-11-24,/home/users/rri38/data/dark/D22400-1-m-10.fits,
D22399-1-m-1,1,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-1.fits,
D22399-1-m-2,2,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-2.fits,
D22399-1-m-3,3,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-3.fits,
D22399-1-m-4,4,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-4.fits,
D22399-1-m-5,5,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-5.fits,
D22399-1-m-6,6,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-6.fits,
D22399-1-m-7,7,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-7.fits,
D22399-1-m-8,8,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-8.fits,
D22399-1-m-9,9,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-9.fits,
D22399-1-m-10,10,1,2459542.8301555,        2021-11-24,/home/users/rri38/data/dark/D22399-1-m-10.fits,
D22398-300-m-1,1,300,2459541.9405193334,        2021-11-23,/home/users/rri38/data/dark/D22398-300-m-1.fits,
D22398-300-m-2,2,300,2459541.9405193334,        2021-11-23,/home/users/rri38/data/dark/D22398-300-m-2.fits,
D22398-300-m-3,3,300,2459541.9405193334,        2021-11-2
