name,band,telescope,exptime,jd,date,filename,note
Flats-0001-r,r,,5.0,2459399.73289294,2021-07-04T05:35:21.95,/home/phys/astro8/MJArchive/octans/20210704/Flats-0001-r.fit,good
Flat20220908-0014_i,i,B&C,15.0,2459830.784683449,2022-09-08T06:49:56.65,/home/phys/astro8/MJArchive/octans/20220908/Flat20220908-0014_i.fit,good
flats_20220905-0009_OIII,OIII,B&C,10.0,2459828.2849444444,2022-09-05T18:50:19.20,/home/phys/astro8/MJArchive/octans/20220905/flats_20220905-0009_OIII.fit,good
flats_20220905-0010_i,i,B&C,0.5,2459828.2794517362,2022-09-05T18:42:24.63,/home/phys/astro8/MJArchive/octans/20220905/flats_20220905-0010_i.fit,good
Flats-0007-g,g,,10.0,2459399.736180787,2021-07-04T05:40:06.02,/home/phys/astro8/MJArchive/octans/20210704/Flats-0007-g.fit,over
flats_20220906-0009_V,V,B&C,7.0,2459828.7760974537,2022-09-06T06:37:34.82,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0009_V.fit,good
Flat-0016R,R,,0.6,2458725.6935185185,2019-08-30T04:38:40,/home/phys/astro8/MJArchive/octans/20190830/Flat-0016R.fit,good
flats_20220905-0003_OIII,OIII,B&C,15.0,2459828.2809961806,2022-09-05T18:44:38.07,/home/phys/astro8/MJArchive/octans/20220905/flats_20220905-0003_OIII.fit,good
flat-0003V,V,,7.0,2459610.21310081,2022-01-30T17:06:51.91,/home/phys/astro8/MJArchive/octans/20220130/flat-0003V.fit,good
Flat-0004i,i,,5.0,2459684.284426389,2022-04-14T18:49:34.44,/home/phys/astro8/MJArchive/octans/20220414/Flat-0004i.fit,over
Flat-0026I,I,,0.1,2458725.7256944445,2019-08-30T05:25:00,/home/phys/astro8/MJArchive/octans/20190830/Flat-0026I.fit,good
flats_20220906-0009_i,i,B&C,0.8,2459828.7719032406,2022-09-06T06:31:32.44,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0009_i.fit,good
flats_20220905-0008_Ha,Halpha,B&C,8.0,2459828.2883546297,2022-09-05T18:55:13.84,/home/phys/astro8/MJArchive/octans/20220905/flats_20220905-0008_Ha.fit,good
flat-0009V,V,,8.0,2459617.220071875,2022-02-06T17:16:54.21,/home/phys/astro8/MJArchive/octans/20220206/flat-0009V.fit,over
flats_20220904-0001_OIII,OIII,B&C,10.0,2459827.285783449,2022-09-04T18:51:31.69,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0001_OIII.fit,good
flats-0029V,V,,3.0,2459605.2120208335,2022-01-25T17:05:18.60,/home/phys/astro8/MJArchive/octans/20220125/flats-0029V.fit,over
flat_20220903-0014Ha,Halpha,B&C,7.0,2459825.2914193287,2022-09-02T18:59:38.63,/home/phys/astro8/MJArchive/octans/20220903/flat_20220903-0014Ha.fit,good
Flats_20220908-0009_B,B,B&C,12.0,2459831.270220486,2022-09-08T18:29:07.05,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0009_B.fit,over
Flat-0008g,g,,13.0,2459684.2796449075,2022-04-14T18:42:41.32,/home/phys/astro8/MJArchive/octans/20220414/Flat-0008g.fit,good
flat-0002r,r,,10.0,2459617.217236227,2022-02-06T17:12:49.21,/home/phys/astro8/MJArchive/octans/20220206/flat-0002r.fit,good
Flat-0011R,R,,0.6,2458725.6776851853,2019-08-30T04:15:52,/home/phys/astro8/MJArchive/octans/20190830/Flat-0011R.fit,good
Flats-0019-i,i,,5.0,2459399.743073148,2021-07-04T05:50:01.52,/home/phys/astro8/MJArchive/octans/20210704/Flats-0019-i.fit,lower
flat-0001_V,V,,15.0,2459606.863971065,2022-01-27T08:44:07.10,/home/phys/astro8/MJArchive/octans/20220127/flat-0001_V.fit,good
Flats_20220908-0001_SII,SII,B&C,15.0,2459831.2803024305,2022-09-08T18:43:38.13,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0001_SII.fit,over
Flat-0017zz,z,,0.1,2458725.698564815,2019-08-30T04:45:56,/home/phys/astro8/MJArchive/octans/20190830/Flat-0017zz.fit,good
flat-0009r,r,,6.0,2459617.2184457174,2022-02-06T17:14:33.71,/home/phys/astro8/MJArchive/octans/20220206/flat-0009r.fit,good
flat-0024,r,,13.0,2459606.861259838,2022-01-27T08:40:12.85,/home/phys/astro8/MJArchive/octans/20220127/flat-0024.fit,good
Flat-0013r,r,,3.0,2459684.28362419,2022-04-14T18:48:25.13,/home/phys/astro8/MJArchive/octans/20220414/Flat-0013r.fit,good
flat-0015g,g,,20.0,2459610.208612153,2022-01-30T17:00:24.09,/home/phys/astro8/MJArchive/octans/20220130/flat-0015g.fit,over
flat-0011V,V,,12.0,2459606.2086780095,2022-01-26T17:00:29.78,/home/phys/astro8/MJArchive/octans/20220126/flat-0011V.fit,over
flat-0007r,r,,8.0,2459605.860759722,2022-01-26T08:39:29.64,/home/phys/astro8/MJArchive/octans/20220126/flat-0007r.fit,over
flat-0013g,g,,15.0,2459606.204892477,2022-01-26T16:55:02.71,/home/phys/astro8/MJArchive/octans/20220126/flat-0013g.fit,good
Flats-0006-i,i,,15.0,2459399.735849537,2021-07-04T05:39:37.40,/home/phys/astro8/MJArchive/octans/20210704/Flats-0006-i.fit,good
Flat-0015i,i,,2.0,2459684.2855252316,2022-04-14T18:51:09.38,/home/phys/astro8/MJArchive/octans/20220414/Flat-0015i.fit,good
Flat-0003uu,u,,60.0,2458725.6481944444,2019-08-30T03:33:24,/home/phys/astro8/MJArchive/octans/20190830/Flat-0003uu.fit,lower
Flat-0020V,V,,5.0,2458725.7061921298,2019-08-30T04:56:55,/home/phys/astro8/MJArchive/octans/20190830/Flat-0020V.fit,good
